OBJECTID_1 *,Shape *,OBJECTID,Shape_1,Sitename,site_addre,street_nam,house_num,location_t,location_n,scientific,tree_num,remarks,remarks_A,priority,elctricit,date,date_sourc,uniqueld,Tree_Name_,point_X,point_Y,Tree_nam_1,Tree_nam_2,scientif_1,Total_Num_,CombinedTr,comments_O,CombNameHe,Name_Eng,Name_Heb,Tree_Type_,Tree_Typ_1,Tree_Typ_2,x,y
1,Point,39204,Point, ,?????? 3,??????,3,?????,??? ???? ??????, , , , ,#NULL!, ,#NULL!,Survey 2016,628-39204,46,176961.129,659999.033,?????? ????? ?????,?????? ???? ?????,Erythrina,22,?????? ???? ????? (Erythrina), ,52,121,46,??,??? ????, ,34.75457290532323,32.03239428654617
2,Point,21429,Point, ,??????? 1,???????,1,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-21429,79,176892.875,659864.308,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.75385631372447,32.03117680237893
3,Point,35646,Point, ,??????? 12,???????,12,????, , , , , ,#NULL!,???? ??? ????,#NULL!,Survey 2016,628-35646,79,176934.012,659961.604,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.754287494516475,32.03205574182541
4,Point,37070,Point, ,??????? 8,???????,8,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-37070,79,176927.926,659933.158,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.75422432299221,32.031798993634126
5,Point,37073,Point, ,??????? 8,???????,8,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-37073,79,176927.926,659933.158,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.75422432299221,32.031798993634126
6,Point,37878,Point, ,??????? 6,???????,6,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-37878,79,176924.147,659908.972,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.75418538564648,32.031580747813926
7,Point,38310,Point, ,??????? 5,???????,5,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38310,79,176905.059,659941.494,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.753981885524354,32.03187330619267
8,Point,38673,Point, ,??????? 4,???????,4,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38673,79,176920.367,659884.787,??????? ????,???????? ????,Brachychyton acerifolia,913,???????? ???? (Brachychyton acerifolia), ,86,73,79,??,??? ????,?????,34.75414643784904,32.03136251095614
9,Point,21641,Point, ,??????? 2,???????,2,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-21641,83,176915.633,659949.686,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75409346023158,32.03194757730214
10,Point,21967,Point, ,??????? 2,???????,2,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-21967,83,176916.587,659860.602,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.754107490229956,32.03114427408056
