filename,latitude,longitude
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10562687034592,34.81864851359853&source=outdoor.jpg",32.1056268703459,34.8186485135985
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10563513225676,34.81951058496751&source=outdoor.jpg",32.1056351322568,34.8195105849675
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10566127556924,34.81885171150254&source=outdoor.jpg",32.1056612755692,34.8188517115025
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10566378566632,34.81901784143681&source=outdoor.jpg",32.1056637856663,34.8190178414368
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10567961116354,34.8191917215092&source=outdoor.jpg",32.1056796111635,34.8191917215092
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10570259347128,34.81790024916138&source=outdoor.jpg",32.1057025934713,34.8179002491614
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10572764079699,34.81914471326868&source=outdoor.jpg",32.105727640797,34.8191447132687
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.1057300295164,34.81950965828547&source=outdoor.jpg",32.1057300295164,34.8195096582855
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10573176663333,34.81902685557716&source=outdoor.jpg",32.1057317666333,34.8190268555772
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10573244630892,34.81892340351679&source=outdoor.jpg",32.1057324463089,34.8189234035168
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10573470379691,34.81881321177089&source=outdoor.jpg",32.1057347037969,34.8188132117709
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10574018168904,34.8187029356384&source=outdoor.jpg",32.105740181689,34.8187029356384
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10574382420965,34.81862256623607&source=outdoor.jpg",32.1057438242096,34.8186225662361
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10574722417764,34.81851843972828&source=outdoor.jpg",32.1057472241776,34.8185184397283
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10576627458789,34.81794801629416&source=outdoor.jpg",32.1057662745879,34.8179480162942
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10581660014611,34.819511764381&source=outdoor.jpg",32.1058166001461,34.819511764381
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10581849894685,34.82193601443176&source=outdoor.jpg",32.1058184989469,34.8219360144318
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10583508489779,34.82206591462108&source=outdoor.jpg",32.1058350848978,34.8220659146211
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10584465084079,34.82219564613071&source=outdoor.jpg",32.1058446508408,34.8221956461307
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10585257834149,34.82230389597348&source=outdoor.jpg",32.1058525783415,34.8223038959735
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10586041092979,34.82240953420931&source=outdoor.jpg",32.1058604109298,34.8224095342093
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10586823719878,34.82251567775977&source=outdoor.jpg",32.1058682371988,34.8225156777598
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10588028706676,34.81839805382623&source=outdoor.jpg",32.1058802870668,34.8183980538262
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10588305687541,34.82262620169769&source=outdoor.jpg",32.1058830568754,34.8226262016977
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10588322525216,34.81951344925739&source=outdoor.jpg",32.1058832252522,34.8195134492574
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590357370729,34.822733103145&source=outdoor.jpg",32.1059035737073,34.822733103145
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590563898955,34.81943215393385&source=outdoor.jpg",32.1059056389895,34.8194321539339
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590592178591,34.81959373357877&source=outdoor.jpg",32.1059059217859,34.8195937335788
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590622709315,34.8197015654973&source=outdoor.jpg",32.1059062270932,34.8197015654973
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590655275541,34.81981394643019&source=outdoor.jpg",32.1059065527554,34.8198139464302
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590692319028,34.81992472659055&source=outdoor.jpg",32.1059069231903,34.8199247265905
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590753069042,34.81931876157113&source=outdoor.jpg",32.1059075306904,34.8193187615711
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10590789404647,34.82003407447122&source=outdoor.jpg",32.1059078940465,34.8200340744712
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10591301498009,34.82014401191446&source=outdoor.jpg",32.1059130149801,34.8201440119145
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10591337799355,34.81919905074866&source=outdoor.jpg",32.1059133779936,34.8191990507487
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10591786413421,34.82025335951474&source=outdoor.jpg",32.1059178641342,34.8202533595147
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10591932758695,34.81907925551438&source=outdoor.jpg",32.105919327587,34.8190792555144
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10592241822091,34.82036194878835&source=outdoor.jpg",32.1059224182209,34.8203619487884
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10592423054348,34.81951437593938&source=outdoor.jpg",32.1059242305435,34.8195143759394
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.1059254737234,34.81895373149534&source=outdoor.jpg",32.1059254737234,34.8189537314953
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10592569668704,34.82283924629377&source=outdoor.jpg",32.105925696687,34.8228392462938
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10592708838509,34.82046725245185&source=outdoor.jpg",32.1059270883851,34.8204672524518
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10593176702403,34.81882652240218&source=outdoor.jpg",32.105931767024,34.8188265224022
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10593444869627,34.82060962279873&source=outdoor.jpg",32.1059344486963,34.8206096227987
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10593999287032,34.82276688363759&source=outdoor.jpg",32.1059399928703,34.8227668836376
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10594324213593,34.82071147220913&source=outdoor.jpg",32.1059432421359,34.8207114722091
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.1059488609005,34.82294522082989&source=outdoor.jpg",32.1059488609005,34.8229452208299
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10595298747306,34.82082460999757&source=outdoor.jpg",32.1059529874731,34.8208246099976
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.1059622107929,34.82093067127313&source=outdoor.jpg",32.1059622107929,34.8209306712731
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10597009265209,34.82304959466831&source=outdoor.jpg",32.1059700926521,34.8230495946683
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10597461670021,34.82102729727701&source=outdoor.jpg",32.1059746167002,34.821027297277
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10597747011268,34.81830749049222&source=outdoor.jpg",32.1059774701127,34.8183074904922
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10598647613018,34.81822383515988&source=outdoor.jpg",32.1059864761302,34.8182238351599
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10598686852443,34.82111785773079&source=outdoor.jpg",32.1059868685244,34.8211178577308
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10598789439796,34.82315666406669&source=outdoor.jpg",32.105987894398,34.8231566640667
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10600586167462,34.82125828942618&source=outdoor.jpg",32.1060058616746,34.8212582894262
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10600591174912,34.82326474421246&source=outdoor.jpg",32.1060059117491,34.8232647442125
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10600607205693,34.81808668404522&source=outdoor.jpg",32.1060060720569,34.8180866840452
"D:/gsv_image/all_last/ALL\tel aviv_heading=0.0&fov=64.0&location=32.10600776883479,34.81954680980302&source=outdoor.jpg",32.1060077688348,34.819546809803
